PR Number,Title,File,Change Type,Old Code,New Code,Review Comment
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.devcontainer/README.md,added,,"# Development Container

This is **Devcontainer** configuration to provide a consistent development environment for all contributors.

## Features

- [x] Pre-configured **Python environment**
- [x] Automatic installation of **pre-commit hooks**
- [x] **Ruff** linter ready to check your code
- [x] **Oh My Zsh** with plugins:
- `zsh-autosuggestions`
- `zsh-syntax-highlighting`

## Usage

1. Install [**Docker** ](https://www.docker.com/get-started/) and [**Visual Studio Code**](https://code.visualstudio.com/)
2. Install the **Remote - Containers** extension in VS Code

    - Do `CTRL+P`, paste this command and press `Enter`

        ```shell
        ext install ms-vscode-remote.remote-containers
        ```
3. Open this repository in VS Code
4. When prompted, click **""Reopen in Container""**
5. Wait for the environment to build and initialize

After setup:

- `pre-commit` hooks are installed
- `ruff` and other tools are available
- The shell uses Zsh by default

## Tips

To manually run checks on all files:

```bash
pre-commit run --all-files
```

> For further information here's [Microsoft tutorial about devcontainers.](https://code.visualstudio.com/docs/devcontainers/tutorial)","Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.devcontainer/devcontainer.json,added,,"{
	""name"": ""Python 3"",
	""build"": {
		""dockerfile"": ""Dockerfile"",
		""context"": "".."",
		""args"": {
			// Update 'VARIANT' to pick a Python version: 3, 3.11, 3.10, 3.9, 3.8
			// Append -bullseye or -buster to pin to an OS version.
			// Use -bullseye variants on local on arm64/Apple Silicon.
			""VARIANT"": ""3.13-bookworm""
		}
	},

	""postCreateCommand"": ""zsh .devcontainer/post_install"",

	// Configure tool-specific properties.
	""customizations"": {
		// Configure properties specific to VS Code.
		""vscode"": {
			// Set *default* container specific settings.json values on container create.
			""settings"": {
				""python.defaultInterpreterPath"": ""/usr/local/bin/python"",
				""python.linting.enabled"": true,
				""python.formatting.blackPath"": ""/usr/local/py-utils/bin/black"",
				""python.linting.mypyPath"": ""/usr/local/py-utils/bin/mypy"",
				""terminal.integrated.defaultProfile.linux"": ""zsh""
			},

			// Add the IDs of extensions you want installed when the container is created.
			""extensions"": [
				""ms-python.python"",
				""ms-python.vscode-pylance""
			]
		}
	},

	// Use 'forwardPorts' to make a list of ports inside the container available locally.
	// ""forwardPorts"": [],

	// Use 'postCreateCommand' to run commands after the container is created.
	// ""postCreateCommand"": ""pip3 install --user -r requirements.txt"",

	// Comment out to connect as root instead. More info: https://aka.ms/vscode-remote/containers/non-root.
	""remoteUser"": ""vscode""
}","Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.devcontainer/post_install,added,,"#!/usr/bin/env bash

echo ""Begin post-installation steps...""

set -e

echo ""Installing pre-commit hooks...""
pre-commit install

echo ""Installing Oh My Zsh plugins...""

# Install zsh-autosuggestions if not present
if [ ! -d ""${ZSH_CUSTOM:-$HOME/.oh-my-zsh/custom}/plugins/zsh-autosuggestions"" ]; then
  echo ""Cloning zsh-autosuggestions...""
  git clone https://github.com/zsh-users/zsh-autosuggestions \
    ""${ZSH_CUSTOM:-$HOME/.oh-my-zsh/custom}/plugins/zsh-autosuggestions""
fi

# Install zsh-syntax-highlighting if not present
if [ ! -d ""${ZSH_CUSTOM:-$HOME/.oh-my-zsh/custom}/plugins/zsh-syntax-highlighting"" ]; then
  echo ""Cloning zsh-syntax-highlighting...""
  git clone https://github.com/zsh-users/zsh-syntax-highlighting.git \
    ""${ZSH_CUSTOM:-$HOME/.oh-my-zsh/custom}/plugins/zsh-syntax-highlighting""
fi

echo ""Configuring plugins in ~/.zshrc...""
sed -i '/^plugins=/c\plugins=(git zsh-autosuggestions zsh-syntax-highlighting)' ~/.zshrc

echo ""Post-installation steps completed successfully. Enjoy!""","Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.gitattributes,added,,* text=auto,"Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.github/CODEOWNERS,added,,"# This is a comment.
# Each line is a file pattern followed by one or more owners.

# More details are here: https://help.github.com/articles/about-codeowners/

# The '*' pattern is global owners.

# Order is important. The last matching pattern has the most precedence.

/.*  @cclauss

# /backtracking/

# /bit_manipulation/

# /blockchain/

# /boolean_algebra/

# /cellular_automata/

# /ciphers/

# /compression/

# /computer_vision/

# /conversions/

# /data_structures/

# /digital_image_processing/

# /divide_and_conquer/

# /dynamic_programming/

# /file_transfer/

# /fuzzy_logic/

# /genetic_algorithm/

# /geodesy/

# /graphics/

# /graphs/

# /greedy_method/

# /hashes/

# /images/

# /linear_algebra/

# /machine_learning/

# /maths/

# /matrix/

# /networking_flow/

# /neural_network/

# /other/

# /project_euler/

# /quantum/

# /scheduling/

# /scripts/

# /searches/

# /sorts/

# /strings/

# /traversals/

/web_programming/  @cclauss","Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.github/ISSUE_TEMPLATE/bug_report.yml,added,,"name: Bug report
description: Create a bug report to help us address errors in the repository
labels: [bug]
body:
  - type: markdown
    attributes:
      value: >
        Before requesting please search [existing issues](https://github.com/TheAlgorithms/Python/labels/bug).
        Usage questions such as ""How do I...?""  belong on the
        [Discord](https://discord.gg/c7MnfGFGa6) and will be closed.

  - type: input
    attributes:
      label: ""Repository commit""
      description: >
        The commit hash for `TheAlgorithms/Python` repository. You can get this
        by running the command `git rev-parse HEAD` locally.
      placeholder: ""a0b0f414ae134aa1772d33bb930e5a960f9979e8""
    validations:
      required: true

  - type: input
    attributes:
      label: ""Python version (python --version)""
      placeholder: ""Python 3.10.7""
    validations:
      required: true

  - type: textarea
    attributes:
      label: ""Dependencies version (pip freeze)""
      description: >
        This is the output of the command `pip freeze --all`. Note that the
        actual output might be different as compared to the placeholder text.
      placeholder: |
        appnope==0.1.3
        asttokens==2.0.8
        backcall==0.2.0
        ...
    validations:
      required: true

  - type: textarea
    attributes:
      label: ""Expected behavior""
      description: ""Describe the behavior you expect. May include images or videos.""
    validations:
      required: true

  - type: textarea
    attributes:
      label: ""Actual behavior""
    validations:
      required: true","Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.github/ISSUE_TEMPLATE/config.yml,added,,"blank_issues_enabled: false
contact_links:
  - name: Discord community
    url: https://discord.gg/c7MnfGFGa6
    about: Have any questions or need any help? Please contact us via Discord","Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.github/ISSUE_TEMPLATE/feature_request.yml,added,,"name: Feature request
description: Suggest features, propose improvements, discuss new ideas.
labels: [enhancement]
body:
  - type: markdown
    attributes:
      value: >
        Before requesting please search [existing issues](https://github.com/TheAlgorithms/Python/labels/enhancement).
        Do not create issues to implement new algorithms as these will be closed.
        Usage questions such as ""How do I...?""  belong on the
        [Discord](https://discord.gg/c7MnfGFGa6) and will be closed.

  - type: textarea
    attributes:
      label: ""Feature description""
      description: >
        This could include new topics or improving any existing implementations.
    validations:
      required: true","Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.github/ISSUE_TEMPLATE/other.yml,added,,"name: Other
description: Use this for any other issues. PLEASE do not create blank issues
labels: [""awaiting triage""]
body:
  - type: textarea
    id: issuedescription
    attributes:
      label: What would you like to share?
      description: Provide a clear and concise explanation of your issue.
    validations:
      required: true

  - type: textarea
    id: extrainfo
    attributes:
      label: Additional information
      description: Is there anything else we should know about this issue?
    validations:
      required: false","Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
14697,feat(maths): add LU decomposition algorithm for matrix factorization,.github/dependabot.yml,added,,"# Keep GitHub Actions up to date with Dependabot...
# https://docs.github.com/en/code-security/dependabot/working-with-dependabot/keeping-your-actions-up-to-date-with-dependabot
version: 2
updates:
  - package-ecosystem: ""github-actions""
    directory: ""/""
    schedule:
      interval: ""daily""","Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`
Variable and function names should follow the [`snake_case`](https://en.wikipedia.org/wiki/Snake_case) naming convention. Please update the following name accordingly: `Matrix`
Please provide descriptive name for the parameter: `b`"
